name,platform,coop_players,has_pvp,year,genre,free2play,url
One Punch Man Deluxe Edition,PC;PS5;Xbox;Switch,4,No,2001,MOBA;Strategy,Yes,https://example.com/games/one-punch-man-deluxe-edition
Tokyo Mirage Sessions 2,PS5;Xbox,4,Yes,2023,Puzzle;Adventure,No,https://example.com/games/tokyo-mirage-sessions-2
Enter the Gungeon Remake,PC;PS4;Xbox,4,Yes,2005,4X;Strategy,Yes,https://example.com/games/enter-the-gungeon-remake
Little Nightmares Ultimate Edition,PC;PS4;Xbox;Switch,Many,Yes,2020,Survival;Horror,No,https://example.com/games/little-nightmares-ultimate-edition
Inside Definitive Edition,PS5;Xbox,6,Yes,2009,4X;Strategy,Yes,https://example.com/games/inside-definitive-edition
Don't Starve Special Edition,PC;PS5;Xbox,,Yes,2011,Sports,No,https://example.com/games/don-t-starve-special-edition
Abzu Collector's Edition,PC;PS5;Xbox;Switch,,Yes,2003,Racing,No,https://example.com/games/abzu-collector-s-edition
Timberborn,PC,,Yes,2006,MOBA;Strategy,Yes,https://example.com/games/timberborn
Fallout Tactics Definitive Edition,PC;Xbox,6,No,2025,Shooter;Action,No,https://example.com/games/fallout-tactics-definitive-edition
Captain of Industry Ultimate Edition,PC;PS4;Xbox;Switch,,Yes,2020,Party;Action,No,https://example.com/games/captain-of-industry-ultimate-edition
Next Car Game Collector's Edition,PC;PS5;Xbox;Switch,4,No,2001,Simulation;Sandbox,No,https://example.com/games/next-car-game-collector-s-edition
Gundam Wing Battle Ultimate Edition,PC;PS4;Xbox,3,No,2008,MOBA;Strategy,No,https://example.com/games/gundam-wing-battle-ultimate-edition
Endless Legend 4,Xbox,Many,No,2018,Tactical;Shooter,No,https://example.com/games/endless-legend-4
Europa Universalis Definitive Edition,PC;PS5;Xbox;Switch,2,Yes,2011,Strategy;RTS,No,https://example.com/games/europa-universalis-definitive-edition
Odin Sphere Omega Edition 3,PC;Xbox,6,No,2021,RPG;Action,No,https://example.com/games/odin-sphere-omega-edition-3
Divinity Last Edition,PC;Xbox,,No,2003,Casual;Party,No,https://example.com/games/divinity-last-edition
Left 4 Dead Final Edition,PC;PS5;Xbox,6,No,2004,Sandbox,No,https://example.com/games/left-4-dead-final-edition
Smalland Omega Edition,PC;Switch,,Yes,2007,RPG;Action,Yes,https://example.com/games/smalland-omega-edition
Gundam ZZ Omega Edition 3,Xbox,4,No,2007,Simulation;Sandbox,No,https://example.com/games/gundam-zz-omega-edition-3
The Wolf Among Us Omega Edition,PC;Switch,6,No,2007,Grand Strategy;Strategy,Yes,https://example.com/games/the-wolf-among-us-omega-edition
13 Sentinels 2,PC;PS5,,No,2020,Action;Platformer,Yes,https://example.com/games/13-sentinels-2
Gloomhaven Ultimate Edition,PC;Switch,2,No,2025,Survival;Sandbox,No,https://example.com/games/gloomhaven-ultimate-edition
Redout 5,PC;Switch,8,Yes,2002,Shooter;RPG,No,https://example.com/games/redout-5
Gloomhaven Complete Edition,PC;Switch,Many,Yes,2016,Grand Strategy;Strategy,No,https://example.com/games/gloomhaven-complete-edition
Tower of Fantasy 4,Xbox,,No,2004,Strategy;Turn-Based,Yes,https://example.com/games/tower-of-fantasy-4
Wasteland Collector's Edition,PS5;Xbox,,Yes,2005,Tactical;Shooter,No,https://example.com/games/wasteland-collector-s-edition
Endless Space Special Edition,PC;PS4;Xbox,4,No,2022,Tactical;Shooter,No,https://example.com/games/endless-space-special-edition
Far Cry 3,PC;PS4;Xbox;Switch,Many,No,2019,Simulation,No,https://example.com/games/far-cry-3
Stellaris Omega Edition 3,PC;Xbox,4,Yes,2003,Tactical;Shooter,No,https://example.com/games/stellaris-omega-edition-3
Gundam Battle Assault 3,PC;PS4;Xbox,,Yes,2025,Simulation;Sandbox,No,https://example.com/games/gundam-battle-assault-3
Bad North Enhanced Edition,PC;Switch,6,Yes,2024,Sandbox,No,https://example.com/games/bad-north-enhanced-edition
Valheim Collector's Edition,PC;PS5;Xbox,6,No,2010,4X;Strategy,No,https://example.com/games/valheim-collector-s-edition
Cuphead,PC;Xbox,,Yes,2005,Casual;Party,No,https://example.com/games/cuphead
Ori 5,Xbox,2,No,2000,Casual;Party,No,https://example.com/games/ori-5
Abzu Final Edition,PC;PS4;Xbox;Switch,6,No,2006,Sandbox,No,https://example.com/games/abzu-final-edition
Sins of a Solar Empire Ultimate Edition,PC;Xbox,,Yes,2018,Action;Adventure,No,https://example.com/games/sins-of-a-solar-empire-ultimate-edition
Monster Hunter Digital Edition,PC;PS5;Xbox;Switch,,No,2005,Simulation;Sandbox,No,https://example.com/games/monster-hunter-digital-edition
Surviving Mars Game of the Year Edition,PC,,Yes,2008,RPG;Action,No,https://example.com/games/surviving-mars-game-of-the-year-edition
Layers of Fear Special Edition,PC,Many,No,2012,Simulation,No,https://example.com/games/layers-of-fear-special-edition
Bulletstorm 5,Xbox,6,No,2017,Puzzle;Adventure,No,https://example.com/games/bulletstorm-5
Batman Telltale Standard Edition,Xbox,Many,No,2025,Simulation,Yes,https://example.com/games/batman-telltale-standard-edition
Her Story Standard Edition,PC;PS4;Xbox;Switch,,No,2011,Strategy;RTS,No,https://example.com/games/her-story-standard-edition
Spelunky Premium Edition,PC;PS5;Xbox,Many,Yes,2002,Survival;Sandbox,Yes,https://example.com/games/spelunky-premium-edition
Gundam Extreme Vs Beta Edition,PC;Switch,,No,2020,Action;Adventure,No,https://example.com/games/gundam-extreme-vs-beta-edition
Half-Life First Edition,PC;PS5,2,Yes,2000,MOBA;Strategy,No,https://example.com/games/half-life-first-edition
Raft Beta Edition,Xbox,Many,No,2008,Action;Platformer,No,https://example.com/games/raft-beta-edition
Back 4 Blood Definitive Edition,PC;PS5,3,Yes,2025,Grand Strategy;Strategy,No,https://example.com/games/back-4-blood-definitive-edition
Endzone Final Edition,PC,3,No,2021,Survival;Horror,No,https://example.com/games/endzone-final-edition
Lords Mobile Omega Edition 4,PC;PS5;Xbox;Switch,Many,No,2002,Racing,No,https://example.com/games/lords-mobile-omega-edition-4
Lawbreakers Omega Edition,PC;PS5;Xbox;Switch,Many,No,2004,Shooter;RPG,No,https://example.com/games/lawbreakers-omega-edition
Hill Climb Racing Limited Edition,PC;PS4;Xbox,2,No,2014,Tactical;Shooter,No,https://example.com/games/hill-climb-racing-limited-edition
Tower of Fantasy Final Edition,PC;PS4;Xbox;Switch,4,No,2010,Tactical;Shooter,No,https://example.com/games/tower-of-fantasy-final-edition
Wolfenstein Legendary Edition,PS5;Xbox,4,No,2021,Grand Strategy;Strategy,No,https://example.com/games/wolfenstein-legendary-edition
Hill Climb Racing Special Edition,Xbox,,Yes,2026,RPG;Action,Yes,https://example.com/games/hill-climb-racing-special-edition
Enlisted Physical Edition,PS5;Xbox,,No,2009,4X;Strategy,No,https://example.com/games/enlisted-physical-edition
Black Clover Remastered,PS5;Xbox,,No,2014,RPG;Action,No,https://example.com/games/black-clover-remastered
Watch Dogs Physical Edition,PC;Switch,Many,No,2015,MOBA;Strategy,No,https://example.com/games/watch-dogs-physical-edition
Aetheris Physical Edition,Xbox,4,Yes,2004,Grand Strategy;Strategy,No,https://example.com/games/aetheris-physical-edition
Arknights Definitive Edition,PC;Switch,2,Yes,2017,Casual;Party,No,https://example.com/games/arknights-definitive-edition
Pillars of Eternity Legendary Edition,PC;Xbox,,Yes,2023,Shooter;Action,No,https://example.com/games/pillars-of-eternity-legendary-edition
Battlefield Omega Edition 5,PC;PS4;Xbox,4,No,2023,Strategy;RTS,No,https://example.com/games/battlefield-omega-edition-5
Shin Megami Tensei Deluxe Edition,PC;PS4;Xbox,6,No,2016,Survival;Horror,No,https://example.com/games/shin-megami-tensei-deluxe-edition
Codename Cure Standard Edition,PC;PS5;Xbox,4,Yes,2020,Tactical;Shooter,No,https://example.com/games/codename-cure-standard-edition
Game of Thrones Conquest Omega Edition 5,PC;PS5;Xbox;Switch,,No,2013,Strategy;Turn-Based,No,https://example.com/games/game-of-thrones-conquest-omega-edition-5
Return of the Obra Dinn 3,PC;PS5;Xbox,,Yes,2013,Action;Platformer,No,https://example.com/games/return-of-the-obra-dinn-3
Rime Game of the Year Edition,PC;Switch,,No,2007,MOBA;Strategy,No,https://example.com/games/rime-game-of-the-year-edition
Forza Omega Edition 2,PC;Xbox,,Yes,2012,Strategy;Turn-Based,No,https://example.com/games/forza-omega-edition-2
The Long Dark Alpha Edition,PC;PS5;Xbox,6,No,2016,Shooter;RPG,No,https://example.com/games/the-long-dark-alpha-edition
Gundam Seed Destiny Premium Edition,PC;PS4;Xbox,4,Yes,2026,Shooter;RPG,No,https://example.com/games/gundam-seed-destiny-premium-edition
Redneck Rampage Last Edition,PC,4,Yes,2024,Casual;Party,No,https://example.com/games/redneck-rampage-last-edition
World of Demons Anniversary Edition,PC;PS5,,Yes,2012,Tactical;Shooter,No,https://example.com/games/world-of-demons-anniversary-edition
Friday the 13th Deluxe Edition,PC;Xbox,8,No,2021,RPG;Action,No,https://example.com/games/friday-the-13th-deluxe-edition
Rust Anniversary Edition,Xbox,,No,2023,Puzzle;Adventure,Yes,https://example.com/games/rust-anniversary-edition
Bulletstorm 3,Xbox,6,No,2026,Simulation,Yes,https://example.com/games/bulletstorm-3
CSR Racing Standard Edition,PC;Switch,,No,2025,Racing,No,https://example.com/games/csr-racing-standard-edition
The Crew Ultimate Edition,PC;PS5;Xbox;Switch,,No,2013,Strategy;Turn-Based,No,https://example.com/games/the-crew-ultimate-edition
Party Animals First Edition,PC;Xbox,,No,2019,Simulation;Sandbox,Yes,https://example.com/games/party-animals-first-edition
Zenless Zone Zero Omega Edition 2,PC;PS5,2,No,2011,Simulation,No,https://example.com/games/zenless-zone-zero-omega-edition-2
Rust Omega Edition 5,PC;Switch,,No,2022,Survival;Sandbox,Yes,https://example.com/games/rust-omega-edition-5
Gundam Battle Operation 2,PC;PS5;Xbox;Switch,6,No,2017,Action;Platformer,No,https://example.com/games/gundam-battle-operation-2
Sly Cooper Collector's Edition,PC;PS5;Xbox;Switch,,Yes,2021,Action;Adventure,Yes,https://example.com/games/sly-cooper-collector-s-edition
Sword Art Online 4,PC;PS4;Xbox,,Yes,2016,Sports,No,https://example.com/games/sword-art-online-4
Subnautica Limited Edition,Xbox,4,No,2010,Party;Action,Yes,https://example.com/games/subnautica-limited-edition
Gundam Seed Battle Assault 3 Legendary Edition,PC;Switch,4,No,2000,Racing,No,https://example.com/games/gundam-seed-battle-assault-3-legendary-edition
Gundam Seed Battle Assault 10 Game of the Year Edition,PC;PS5,,Yes,2024,Strategy;Turn-Based,No,https://example.com/games/gundam-seed-battle-assault-10-game-of-the-year-edition
God of War Omega Edition,PC;PS4;Xbox;Switch,3,Yes,2016,Shooter;RPG,No,https://example.com/games/god-of-war-omega-edition
Seven Deadly Sins First Edition,PC;Switch,,Yes,2019,Racing,No,https://example.com/games/seven-deadly-sins-first-edition
Sol Cresta Standard Edition,PC;PS4;Xbox;Switch,,No,2008,4X;Strategy,No,https://example.com/games/sol-cresta-standard-edition
Vanquish First Edition,Xbox,4,No,2008,Shooter;RPG,No,https://example.com/games/vanquish-first-edition
DayZ Omega Edition 5,PS5;Xbox,4,No,2012,Shooter;Action,No,https://example.com/games/dayz-omega-edition-5
Dragon Ball Z Dokkan Collector's Edition,PC;PS4;Xbox,,No,2002,MOBA;Strategy,No,https://example.com/games/dragon-ball-z-dokkan-collector-s-edition
Squad Deluxe Edition,PC;Switch,4,Yes,2004,Action;Platformer,No,https://example.com/games/squad-deluxe-edition
Legends of Runeterra Omega Edition 5,PS5;Xbox,2,No,2022,RPG;Action,No,https://example.com/games/legends-of-runeterra-omega-edition-5
Arma Physical Edition,PC;PS5,4,Yes,2024,Strategy;Turn-Based,No,https://example.com/games/arma-physical-edition
Flower Beta Edition,PC;PS5,4,No,2011,Racing,No,https://example.com/games/flower-beta-edition
Vanquish Enhanced Edition,PC;Switch,4,No,2008,4X;Strategy,No,https://example.com/games/vanquish-enhanced-edition
Smalland Special Edition,Xbox,,Yes,2017,Action;Adventure,No,https://example.com/games/smalland-special-edition
Crash Team Racing Special Edition,Xbox,,No,2022,Strategy;RTS,No,https://example.com/games/crash-team-racing-special-edition
Hyrule Warriors Alpha Edition,Xbox,3,Yes,2024,Simulation,No,https://example.com/games/hyrule-warriors-alpha-edition
Nioh Omega Edition 2,PC;PS5,,No,2003,4X;Strategy,No,https://example.com/games/nioh-omega-edition-2
Journey Omega Edition 2,PC;PS4;Xbox,4,Yes,2005,Grand Strategy;Strategy,No,https://example.com/games/journey-omega-edition-2
Killing Floor Complete Edition,PC;PS5;Xbox;Switch,4,Yes,2017,Survival;Sandbox,No,https://example.com/games/killing-floor-complete-edition
Tales from the Borderlands Omega Edition,PC;PS4;Xbox;Switch,,No,2014,Strategy;Turn-Based,No,https://example.com/games/tales-from-the-borderlands-omega-edition
NBA 2K Collector's Edition,PC;PS5,6,Yes,2009,Shooter;Action,No,https://example.com/games/nba-2k-collector-s-edition
Frontlines Final Edition,PC;PS5;Xbox;Switch,,Yes,2021,Puzzle;Adventure,Yes,https://example.com/games/frontlines-final-edition
Amnesia Omega Edition,PC;PS5,,No,2007,Racing,Yes,https://example.com/games/amnesia-omega-edition
Shadowverse Omega Edition 5,PC;PS5;Xbox;Switch,,Yes,2011,Tactical;Shooter,No,https://example.com/games/shadowverse-omega-edition-5
System Shock Omega Edition 2,PS5;Xbox,8,No,2015,RPG;Action,No,https://example.com/games/system-shock-omega-edition-2
Gloomhaven Digital Edition,PC;PS5;Xbox;Switch,4,Yes,2009,Action;Platformer,Yes,https://example.com/games/gloomhaven-digital-edition
Men of War Remake,PC;Xbox,,No,2026,Shooter;Action,No,https://example.com/games/men-of-war-remake
Nikke Alpha Edition,PC;Switch,,No,2018,Racing,No,https://example.com/games/nikke-alpha-edition
Boomerang Fu Omega Edition,PC;PS4;Xbox;Switch,,Yes,2004,RPG;Action,No,https://example.com/games/boomerang-fu-omega-edition
Goblin Slayer Omega Edition 5,PC;PS5;Xbox,,No,2002,Survival;Horror,Yes,https://example.com/games/goblin-slayer-omega-edition-5
Chorus Deluxe Edition,PC;PS5;Xbox;Switch,3,No,2007,Racing,No,https://example.com/games/chorus-deluxe-edition
Raft Collector's Edition,PC;Switch,4,Yes,2013,Action;Platformer,No,https://example.com/games/raft-collector-s-edition
Konosuba 3,PC;Switch,4,Yes,2012,Simulation,No,https://example.com/games/konosuba-3
Rocket League Standard Edition,PC;PS4;Xbox,2,Yes,2012,Tactical;Shooter,No,https://example.com/games/rocket-league-standard-edition
Asphalt Omega Edition 4,PC,4,No,2001,Sandbox,No,https://example.com/games/asphalt-omega-edition-4
Platinum Games Final Edition,PC;PS4;Xbox,,No,2003,Survival;Sandbox,Yes,https://example.com/games/platinum-games-final-edition
Blood Ultimate Edition,PS5;Xbox,6,Yes,2015,Shooter;RPG,No,https://example.com/games/blood-ultimate-edition
Divinity Omega Edition 5,PC;PS5;Xbox,,Yes,2022,Action;Adventure,No,https://example.com/games/divinity-omega-edition-5
Surviving the Aftermath Special Edition,PC;PS4;Xbox;Switch,,Yes,2004,Tactical;Shooter,Yes,https://example.com/games/surviving-the-aftermath-special-edition
Panel de Pon Legendary Edition,PC;PS5,,Yes,2005,4X;Strategy,No,https://example.com/games/panel-de-pon-legendary-edition
Zero Escape Remake,PC,Many,No,2019,MOBA;Strategy,No,https://example.com/games/zero-escape-remake
Tetris Omega Edition 2,PC;PS4;Xbox,4,Yes,2010,MOBA;Strategy,No,https://example.com/games/tetris-omega-edition-2
Need for Speed Special Edition,PC;PS5,Many,No,2026,Action;Platformer,No,https://example.com/games/need-for-speed-special-edition
0 AD Omega Edition 3,PC,,No,2013,Action;Platformer,Yes,https://example.com/games/0-ad-omega-edition-3
Northgard Definitive Edition,PC;Xbox,8,Yes,2007,Puzzle;Adventure,No,https://example.com/games/northgard-definitive-edition
Kingdoms of Amalur Remake,PC;Switch,,Yes,2019,Grand Strategy;Strategy,No,https://example.com/games/kingdoms-of-amalur-remake
Tokyo Mirage Sessions Digital Edition,PC;PS4;Xbox,,Yes,2005,Tactical;Shooter,No,https://example.com/games/tokyo-mirage-sessions-digital-edition
Northgard Final Edition,PC;PS5;Xbox;Switch,3,Yes,2026,Survival;Horror,Yes,https://example.com/games/northgard-final-edition
Next Car Game Omega Edition,PC;PS5,,No,2019,Action;Platformer,No,https://example.com/games/next-car-game-omega-edition
Stellaris Ultimate Edition,PS5;Xbox,4,No,2009,Casual;Party,No,https://example.com/games/stellaris-ultimate-edition
That Time I Got Reincarnated Ultimate Edition,PC;PS5;Xbox;Switch,3,No,2000,Party;Action,No,https://example.com/games/that-time-i-got-reincarnated-ultimate-edition
Necromunda Omega Edition,PC,,Yes,2008,Puzzle;Adventure,No,https://example.com/games/necromunda-omega-edition
Marvel's Midnight Suns Digital Edition,PC;Xbox,Many,No,2013,4X;Strategy,Yes,https://example.com/games/marvel-s-midnight-suns-digital-edition
Terraria Complete Edition,PC;PS4;Xbox;Switch,2,Yes,2006,Survival;Sandbox,No,https://example.com/games/terraria-complete-edition
Phasmophobia Remake,PC;Xbox,,No,2018,Survival;Sandbox,No,https://example.com/games/phasmophobia-remake
Gundam Seed Battle Assault 6 Remastered,PC;Xbox,2,No,2002,Shooter;RPG,No,https://example.com/games/gundam-seed-battle-assault-6-remastered
Townscaper Remastered,Xbox,,No,2005,4X;Strategy,No,https://example.com/games/townscaper-remastered
Europa Universalis Collector's Edition,PC;Xbox,3,No,2008,Shooter;RPG,No,https://example.com/games/europa-universalis-collector-s-edition
Raft Remastered,PC;Switch,,No,2012,Party;Action,No,https://example.com/games/raft-remastered
Warhammer 40K Inquisitor Legendary Edition,PC;PS5;Xbox;Switch,4,No,2004,Battle Royale;Shooter,No,https://example.com/games/warhammer-40k-inquisitor-legendary-edition
Empire Earth Enhanced Edition,PC;PS5,4,No,2005,Casual;Party,No,https://example.com/games/empire-earth-enhanced-edition
Beach Buggy Racing Omega Edition 4,PC;PS5,8,No,2009,RPG;Action,No,https://example.com/games/beach-buggy-racing-omega-edition-4
Cities 2,PC;PS5,4,Yes,2013,MOBA;Strategy,No,https://example.com/games/cities-2
Final Fantasy XIV Alpha Edition,PC;Switch,6,No,2026,Casual;Party,No,https://example.com/games/final-fantasy-xiv-alpha-edition
Destiny Last Edition,PC,6,Yes,2022,Grand Strategy;Strategy,No,https://example.com/games/destiny-last-edition
Zone of the Enders Game of the Year Edition,PC;PS5;Xbox;Switch,4,No,2019,Survival;Horror,No,https://example.com/games/zone-of-the-enders-game-of-the-year-edition
Last Epoch Collector's Edition,PC;PS5,Many,No,2023,Simulation,No,https://example.com/games/last-epoch-collector-s-edition
Sonic Racing Special Edition,PC;PS5,Many,No,2006,Puzzle;Adventure,No,https://example.com/games/sonic-racing-special-edition
7 Days to Die Ultimate Edition,Xbox,6,Yes,2013,Shooter;RPG,No,https://example.com/games/7-days-to-die-ultimate-edition
Call to Arms Alpha Edition,PC;PS4;Xbox;Switch,,No,2010,Racing,No,https://example.com/games/call-to-arms-alpha-edition
Wasteland Omega Edition 4,PC;PS4;Xbox;Switch,,No,2008,Action;Platformer,Yes,https://example.com/games/wasteland-omega-edition-4
Pillars of Eternity Omega Edition 3,PC,8,No,2011,Simulation;Sandbox,No,https://example.com/games/pillars-of-eternity-omega-edition-3
Disco Elysium 4,PC;Switch,Many,No,2026,Puzzle;Adventure,No,https://example.com/games/disco-elysium-4
Next Car Game Physical Edition,PC;Switch,3,Yes,2019,Simulation;Sandbox,No,https://example.com/games/next-car-game-physical-edition
Legends of Runeterra Omega Edition 4,PC;PS5;Xbox;Switch,4,Yes,2003,Action;Adventure,No,https://example.com/games/legends-of-runeterra-omega-edition-4
Stranded Deep Limited Edition,PC;Xbox,4,Yes,2021,Tactical;Shooter,No,https://example.com/games/stranded-deep-limited-edition
Killing Floor Deluxe Edition,PC;PS5;Xbox;Switch,,No,2019,Tactical;Shooter,No,https://example.com/games/killing-floor-deluxe-edition
One Punch Man Alpha Edition,PC;PS4;Xbox;Switch,,No,2026,Strategy;Turn-Based,Yes,https://example.com/games/one-punch-man-alpha-edition
Gundam ZZ Battle Assault Complete Edition,PC;Xbox,6,No,2016,Simulation;Sandbox,No,https://example.com/games/gundam-zz-battle-assault-complete-edition
Pathfinder Collector's Edition,PC,2,No,2018,Strategy;Turn-Based,Yes,https://example.com/games/pathfinder-collector-s-edition
Steins Gate 3,PC;PS4;Xbox,2,No,2022,Strategy;RTS,No,https://example.com/games/steins-gate-3
Deus Ex Ultimate Edition,PC;PS4;Xbox,,No,2003,Survival;Horror,No,https://example.com/games/deus-ex-ultimate-edition
Elite Dangerous Final Edition,PC;PS5;Xbox;Switch,4,Yes,2023,Survival;Horror,No,https://example.com/games/elite-dangerous-final-edition
Icarus Complete Edition,PC;Switch,,Yes,2013,Action;Platformer,No,https://example.com/games/icarus-complete-edition
MX vs ATV Omega Edition 3,PC;PS5;Xbox,2,Yes,2026,4X;Strategy,No,https://example.com/games/mx-vs-atv-omega-edition-3
Madden NFL Anniversary Edition,PC;PS5,,Yes,2019,Action;Adventure,No,https://example.com/games/madden-nfl-anniversary-edition
Zone of the Enders Legendary Edition,PS5;Xbox,4,Yes,2007,4X;Strategy,Yes,https://example.com/games/zone-of-the-enders-legendary-edition
Grip Combat Racing Complete Edition,PC;Xbox,Many,No,2025,MOBA;Strategy,No,https://example.com/games/grip-combat-racing-complete-edition
Twisted Metal 5,PC;PS5;Xbox;Switch,,Yes,2024,Strategy;RTS,No,https://example.com/games/twisted-metal-5
Gundam Battle Universe Enhanced Edition,PC;Xbox,,No,2013,Puzzle;Adventure,No,https://example.com/games/gundam-battle-universe-enhanced-edition
Far Cry Alpha Edition,PC;Switch,,No,2014,Action;Adventure,No,https://example.com/games/far-cry-alpha-edition
Gang Beasts Digital Edition,PC;Switch,,No,2019,MOBA;Strategy,No,https://example.com/games/gang-beasts-digital-edition
Spelunky Deluxe Edition,PC;PS5;Xbox;Switch,2,No,2024,Sandbox,No,https://example.com/games/spelunky-deluxe-edition
Dynasty Warriors Anniversary Edition,PC;PS4;Xbox,,Yes,2023,Sports,No,https://example.com/games/dynasty-warriors-anniversary-edition
Nikke Limited Edition,PC;Switch,,Yes,2017,Shooter;RPG,No,https://example.com/games/nikke-limited-edition
Granblue Fantasy Standard Edition,PC;Xbox,2,No,2009,Strategy;Turn-Based,Yes,https://example.com/games/granblue-fantasy-standard-edition
Mindustry Collector's Edition,PC;PS4;Xbox;Switch,8,No,2001,Tactical;Shooter,No,https://example.com/games/mindustry-collector-s-edition
Lunar Colony Anniversary Edition,PC;Xbox,6,Yes,2013,Shooter;Action,Yes,https://example.com/games/lunar-colony-anniversary-edition
Last Epoch Deluxe Edition,PC,,No,2001,Action;Platformer,Yes,https://example.com/games/last-epoch-deluxe-edition
Saints Row 2,PC,Many,No,2021,Casual;Party,No,https://example.com/games/saints-row-2
Gundam Seed Battle Assault Legendary Edition,PC;PS4;Xbox;Switch,,No,2001,Grand Strategy;Strategy,No,https://example.com/games/gundam-seed-battle-assault-legendary-edition
Oxygen Not Included 2,PC;PS5;Xbox,3,No,2019,Tactical;Shooter,No,https://example.com/games/oxygen-not-included-2
Gears Tactics Anniversary Edition,PC;PS5;Xbox,,Yes,2004,Survival;Sandbox,No,https://example.com/games/gears-tactics-anniversary-edition
Fire Force Standard Edition,PC;Xbox,6,Yes,2015,Grand Strategy;Strategy,No,https://example.com/games/fire-force-standard-edition
Alien Isolation Final Edition,PC;Switch,Many,No,2023,Strategy;RTS,No,https://example.com/games/alien-isolation-final-edition
Anno Anniversary Edition,PC;PS4;Xbox,6,Yes,2015,Casual;Party,No,https://example.com/games/anno-anniversary-edition
Front Mission Alternative Omega Edition 5,PC;Xbox,,No,2005,Sandbox,No,https://example.com/games/front-mission-alternative-omega-edition-5
Blue Archive Alpha Edition,PS5;Xbox,,Yes,2025,Simulation;Sandbox,No,https://example.com/games/blue-archive-alpha-edition
Fallout Shelter Beta Edition,PC;Xbox,2,No,2015,Sports,No,https://example.com/games/fallout-shelter-beta-edition
Kena First Edition,PC;Xbox,3,No,2022,Survival;Sandbox,No,https://example.com/games/kena-first-edition
Outriders Physical Edition,PC,,No,2010,Simulation;Sandbox,No,https://example.com/games/outriders-physical-edition
Griftlands 5,PC;Xbox,,Yes,2009,Shooter;RPG,No,https://example.com/games/griftlands-5
Warframe Deluxe Edition,PC;PS5,,Yes,2018,Survival;Horror,No,https://example.com/games/warframe-deluxe-edition
MX vs ATV Game of the Year Edition,PC,,Yes,2007,Casual;Party,Yes,https://example.com/games/mx-vs-atv-game-of-the-year-edition
Tools Up Special Edition,PC,8,Yes,2008,Battle Royale;Shooter,No,https://example.com/games/tools-up-special-edition
Pillars of Eternity Omega Edition,PC;PS5,,No,2015,Simulation,No,https://example.com/games/pillars-of-eternity-omega-edition
Mudrunner First Edition,PC;PS5,2,No,2000,Racing,Yes,https://example.com/games/mudrunner-first-edition
Aetheris Premium Edition,PC,,Yes,2003,Party;Action,No,https://example.com/games/aetheris-premium-edition
Need for Speed 4,PC;Switch,2,Yes,2005,Action;Platformer,No,https://example.com/games/need-for-speed-4
Infamous Digital Edition,Xbox,4,No,2012,Survival;Sandbox,Yes,https://example.com/games/infamous-digital-edition
SimCity Deluxe Edition,PC;PS5;Xbox;Switch,4,Yes,2022,Tactical;Shooter,No,https://example.com/games/simcity-deluxe-edition
State of Survival Omega Edition 3,PC;Switch,2,No,2001,Strategy;Turn-Based,No,https://example.com/games/state-of-survival-omega-edition-3
Empire Earth Special Edition,PC,4,Yes,2024,Strategy;Turn-Based,No,https://example.com/games/empire-earth-special-edition
Albion Online,PC;PS4;Xbox;Switch,,Yes,2005,Survival;Sandbox,Yes,https://example.com/games/albion-online
RimWorld Omega Edition 2,PC;PS4;Xbox,,No,2011,Simulation,No,https://example.com/games/rimworld-omega-edition-2
New World 2,PC,2,No,2014,Casual;Party,No,https://example.com/games/new-world-2
Endzone Omega Edition 2,PS5;Xbox,8,Yes,2011,4X;Strategy,No,https://example.com/games/endzone-omega-edition-2
Rogue Legacy 2,PC;PS4;Xbox,4,No,2011,MOBA;Strategy,No,https://example.com/games/rogue-legacy-2
RimWorld Final Edition,PC,,Yes,2002,Action;Adventure,No,https://example.com/games/rimworld-final-edition
Mobile Legends Omega Edition 4,PS5;Xbox,2,Yes,2008,MOBA;Strategy,Yes,https://example.com/games/mobile-legends-omega-edition-4
Planet Zoo Physical Edition,PC;PS5,,Yes,2022,Strategy;Turn-Based,No,https://example.com/games/planet-zoo-physical-edition
Age of Empires Omega Edition 5,PC;PS5,,Yes,2004,Strategy;RTS,No,https://example.com/games/age-of-empires-omega-edition-5
Blue Protocol Remake,PC;PS5;Xbox,,No,2019,Party;Action,No,https://example.com/games/blue-protocol-remake
Wreckfest 4,PC;PS5;Xbox,4,No,2000,Shooter;RPG,Yes,https://example.com/games/wreckfest-4
Dorfromantik Omega Edition 5,PS5;Xbox,,Yes,2023,Puzzle;Adventure,No,https://example.com/games/dorfromantik-omega-edition-5
Outer Wilds Ultimate Edition,PC;Xbox,6,Yes,2012,Shooter;RPG,No,https://example.com/games/outer-wilds-ultimate-edition
End of Nations Omega Edition 2,Xbox,,No,2008,Grand Strategy;Strategy,Yes,https://example.com/games/end-of-nations-omega-edition-2
H1Z1 Omega Edition 3,PC,4,Yes,2026,RPG;Action,No,https://example.com/games/h1z1-omega-edition-3
Legends of Runeterra Remake,Xbox,4,No,2024,RPG;Action,Yes,https://example.com/games/legends-of-runeterra-remake
Sonic Racing Last Edition,PC;PS5;Xbox;Switch,Many,No,2008,Simulation,No,https://example.com/games/sonic-racing-last-edition
Tales of Destiny 4,PC;PS5;Xbox;Switch,,Yes,2018,Tactical;Shooter,No,https://example.com/games/tales-of-destiny-4
